Fecha,item_name,Precio unita COP,Costo Unit COP,quantity,transaction_type,received_by,time_of_sale
2024-10-12 00:00:00,Torta de queso,1900.0,1235.0,92.0,Cash,Mrs.,Afternoon
2024-07-02 00:00:00,Sandwich,4500.0,2925.0,93.0,Cash,Mr.,Night
2024-08-15 00:00:00,nan,4500.0,2925.0,67.0,Online,Mr.,Evening
2024-12-05 00:00:00,Empanadas Carne,0.0,975.0,63.0,Cash,Mr.,Morning
2024-12-01 00:00:00,Sandwich,4500.0,2925.0,100.0,nan,Mrs.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-14 00:00:00,Cold coffee,0.0,1950.0,90.0,Cash,Mr.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-03-09 00:00:00,Chocorramo,2900.0,1885.0,98.0,Cash,Mr.,Night
2024-02-25 00:00:00,Chocorramo,2900.0,1885.0,102.0,Online,Mr.,Midnight
2024-09-18 00:00:00,Cocacola 1.5lt,7000.0,4550.0,72.0,Online,Mrs.,Morning
2024-11-16 00:00:00,Cocacola 1.5lt,7000.0,4550.0,94.0,Online,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-10-24 00:00:00,Cold coffee,3000.0,1950.0,88.0,Online,Mrs.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-11-25 00:00:00,Chocorramo,2900.0,1885.0,67.0,Cash,Mrs.,Night
2024-09-18 00:00:00,Chocorramo,2900.0,1885.0,104.0,Online,Mr.,Night
2024-02-10 00:00:00,Chocorramo,2900.0,1885.0,83.0,Online,Mr.,Night
2024-11-25 00:00:00,papas de pollo,2700.0,1755.0,102.0,Cash,Mrs.,Afternoon
2024-05-15 00:00:00,Cocacola 1.5lt,7000.0,4550.0,81.0,Cash,Mr.,Night
2024-09-04 00:00:00,Cocacola 1.5lt,7000.0,4550.0,84.0,Cash,Mrs.,Morning
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-10-24 00:00:00,Cold coffee,3000.0,1950.0,74.0,Online,Mr.,Afternoon
2024-11-23 00:00:00,Sandwich,4500.0,2925.0,62.0,Online,Mr.,Evening
2024-08-04 00:00:00,Sandwich,4500.0,2925.0,60.0,Online,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-08-27 00:00:00,Sandwich,4500.0,2925.0,75.0,Online,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-06-12 00:00:00,papas de pollo,2700.0,1755.0,87.0,Online,Mrs.,Evening
2024-02-10 00:00:00,Cocacola 1.5lt,7000.0,4550.0,71.0,Online,Mrs.,Morning
2024-10-29 00:00:00,Cocacola 1.5lt,7000.0,4550.0,93.0,Online,Mrs.,Morning
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-19 00:00:00,Sandwich,4500.0,2925.0,72.0,Cash,Mr.,Night
2024-11-17 00:00:00,cafe expresso,1500.0,975.0,98.0,Cash,Mrs.,Evening
2024-11-12 00:00:00,cafe expresso,1500.0,975.0,94.0,Cash,Mrs.,Midnight
2024-07-06 00:00:00,cafe expresso,1500.0,975.0,81.0,Online,Mrs.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-03-02 00:00:00,Cold coffee,3000.0,1950.0,70.0,Online,Mrs.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-03-09 00:00:00,Cocacola 1.5lt,7000.0,4550.0,85.0,Online,Mrs.,Morning
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-05 00:00:00,cafe expresso,1500.0,975.0,104.0,Cash,Mr.,Evening
2024-06-01 00:00:00,Cold coffee,3000.0,1950.0,94.0,Online,Mr.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-09-21 00:00:00,Cold coffee,3000.0,1950.0,99.0,Cash,Mrs.,Night
2024-11-17 00:00:00,Sandwich,4500.0,2925.0,71.0,Cash,Mrs.,Afternoon
2024-12-21 00:00:00,Empanadas Carne,1500.0,975.0,83.0,Cash,Mrs.,Morning
2024-12-24 00:00:00,Pastel pollo,2300.0,1495.0,92.0,Cash,Mr.,Night
2024-11-14 00:00:00,Cold coffee,3000.0,1950.0,101.0,Online,Mrs.,Afternoon
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-06 00:00:00,Chocorramo,2900.0,1885.0,63.0,Online,Mr.,Midnight
2024-04-16 00:00:00,Chocorramo,2900.0,1885.0,60.0,Cash,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-07-10 00:00:00,papas de pollo,2700.0,1755.0,70.0,Online,Mr.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-10 00:00:00,Torta de queso,1900.0,1235.0,81.0,Cash,Mr.,Midnight
2024-04-10 00:00:00,Torta de queso,1900.0,1235.0,101.0,Cash,Mrs.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-04-23 00:00:00,Sandwich,4500.0,2925.0,85.0,Cash,Mrs.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-11-05 00:00:00,cafe expresso,1500.0,975.0,77.0,Online,Mr.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-08-04 00:00:00,cafe americano,1800.0,1170.0,103.0,Cash,Mrs.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-07-26 00:00:00,cafe americano,1800.0,1170.0,64.0,Online,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-02-24 00:00:00,papas de pollo,2700.0,1755.0,66.0,Cash,Mr.,Morning
2024-05-16 00:00:00,Cocacola 1.5lt,7000.0,4550.0,99.0,Online,Mr.,Night
2024-08-08 00:00:00,Sandwich,4500.0,2925.0,63.0,Online,Mrs.,Night
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-11-06 00:00:00,cafe americano,1800.0,1170.0,81.0,Cash,Mr.,Evening
2024-02-07 00:00:00,Pastel pollo,2300.0,1495.0,68.0,Online,Mrs.,Morning
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-10-11 00:00:00,Sandwich,4500.0,2925.0,101.0,Cash,Mrs.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-01-30 00:00:00,Sandwich,4500.0,2925.0,78.0,Cash,Mr.,Afternoon
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-11-17 00:00:00,Chocorramo,2900.0,1885.0,61.0,Online,Mrs.,Midnight
2024-08-27 00:00:00,Chocorramo,2900.0,1885.0,79.0,Cash,Mr.,Evening
2024-08-27 00:00:00,Cocacola 1.5lt,7000.0,4550.0,98.0,Online,Mr.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-06-09 00:00:00,Cold coffee,3000.0,1950.0,77.0,Online,Mr.,Evening
2024-12-15 00:00:00,cafe expresso,1500.0,975.0,90.0,Cash,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-11-13 00:00:00,Sandwich,4500.0,2925.0,73.0,Online,Mrs.,Midnight
2024-01-19 00:00:00,Pastel pollo,2300.0,1495.0,70.0,Online,Mrs.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-06-06 00:00:00,Pastel pollo,2300.0,1495.0,62.0,Online,Mr.,Evening
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-10-02 00:00:00,Sandwich,4500.0,2925.0,83.0,Online,Mrs.,Midnight
Fecha Desconocida,nan,0.0,0.0,0.0,nan,nan,nan
2024-03-03 00:00:00,Cocacola 1.5lt,7000.0,4550.0,82.0,Cash,Mr.,Evening
2024-08-17 00:00:00,Torta de queso,1900.0,1235.0,95.0,Online,Mr.,Morning
2024-10-29 00:00:00,Torta de queso,1900.0,1235.0,86.0,Online,Mr.,Night
